title,image_url,price,description,tags,gold_weight,stone_weight,stone_type,category,sub_category,metal,finish,dimensions,purity
Gold Divine Fleur Lab Grown Diamond Ring,http://www.giva.co/cdn/shop/files/GDLR0908_1.jpg?v=1752732202,89758,"Inspired by the inner power of women, this gold ring symbolises resilience, radiance, and regality like a crown worn from within. Try the exquisite lab...","gold, diamond",,,SGL/IGL Certified Lab grown diamonds,Rings,,Gold,,"Ring Diameter: 1.66 cm, Ring size: Indian - 12",14K
Gold Classic Band Diamond Ring,http://www.giva.co/cdn/shop/files/GDLR025_1.jpg?v=1726240518,33288,The Gold Classic Band Diamond Ring is inspired by the butterflies we feel while getting dressed to impress someone special. This diamond-studded gold r...,"gold, diamond",,,Authentic lab-grown diamonds,Rings,,Gold,,"Ring Diameter: 1.78 cm, Ring size: Indian - 12, US - 6",14K
Rose Gold Sanguine Solitaire Lab Grown Diamond Ring,http://www.giva.co/cdn/shop/files/GDLR0681_1.jpg?v=1743079641,53348,"Imagine slipping this ring on your finger and feeling a little burst of sunshine. It’s simple yet elegant, like a ray of light that brightens up your d...","rose gold, diamond",,,Lab-grown diamonds,Rings,Solitaire Ring,Rose Gold,,"Ring Diameter: 1.66 cm, Ring size: Indian - 12",18K
Gold Unity Diamond Ring,http://www.giva.co/cdn/shop/files/GDLR0231.39859.jpg?v=1743503897,10713,Here is a remarkably minimal design that embodies the concept of unity. This ring is not only a timeless keepsake but also a joy to wear every day. Th...,"gold, diamond",,,Lab-grown diamonds,Rings,,Gold,,"Ring Diameter: 1.62 cm, Ring size: Indian - 11",14K
Gold Rise Diamond Ring,http://www.giva.co/cdn/shop/files/GDLR0231.39859.jpg?v=1743503897,10713,"Life is all about celebrating the peak moments. Whether it's for a special occasion or a loving gesture, this ring will forever remind you of life's p...","gold, diamond",,,Lab-grown diamonds,Rings,,Gold,,"Ring Diameter: 1.62 cm, Ring size: Indian - 11",14K
Silver Sparkling Shine Hoop Earrings,http://www.giva.co/cdn/shop/files/ER0425_5_5b286859-aaa7-4a58-a079-76f45ac85264.jpg?v=1742393293,2499,"Sparkle? Check. Shine? Check. Spotlight? Double Check! DIVA, we don’t need to say much. These Silver Sparkling Shine Hoop Earrings do their own talking...",silver,,,AAA+ Quality Zircons,Earrings,Hoop Earrings,Silver,,,925 Sterling silver
Silver Soulmate Necklace,http://www.giva.co/cdn/shop/files/PD02330_5_20a65b3d-76de-47a4-9f5c-8a801051dc22.jpg?v=1742394386,2699,"Here's a tangible representation of your profound love. Present this charming necklace to celebrate your soulmate for their simple, enigmatic elegance....",silver,,,Zircons,Necklaces,,Silver,,"Length of Chain: 45.5 cm + 5 cm Adjustable, Motif Height: 2.2 cm, Width: 2 cm",925 Silver
Silver Zircon Sparkle Drop Earrings,http://www.giva.co/cdn/shop/products/ER0276_1_2.jpg?v=1670825361,1999,Our GIVA DIVA shines the brightest and enlightens everyone around her. This is just one of her various talents that leaves us spellbound. Inspired by t...,"silver, zircon",,,AAA+ Quality Zircons,Earrings,Drop Earrings,Silver,,,925 Sterling silver
Silver Classic Solitaire Ring,http://www.giva.co/cdn/shop/files/R042_1.jpg?v=1712926930,3199,"A sparkle never fails to impress. This ring exudes brilliance, drawing the eye with its captivating sparkle. It'll be your versatile choice and can be ...",silver,,,Zircons,Rings,Solitaire Ring,Silver,,Ring Diameter: 1.56 cm + Adjustable,925 Silver
Golden Mini Hoop Earrings,http://www.giva.co/cdn/shop/products/ER0434_1.jpg?v=1625833204,2099,"Remember when we wore those good old ‘baaliya’ after our first piercing? These Golden Mini Hoop Earrings are those, but better! Time to walk down memor...",golden,,,,Earrings,Hoop Earrings,Gold Plated,,,18K Gold plating
Silver Sparkly Elegant Tennis Bracelet,http://www.giva.co/cdn/shop/products/BR0488_1-min.jpg?v=1662036034,5999,The Silver Sparkly Elegant Tennis Bracelet is inspired by the disco ball that was popular in the 90s. The silver bracelet has zircons placed throughout...,silver,,,Zircons,Bracelets,Tennis Bracelet,Silver,,Length of bracelet is 18 cm,925 Silver
Silver Blue Evil Eye Anklet,http://www.giva.co/cdn/shop/files/A0282_2.jpg?v=1714384673,2099,"Give yourself spiritual protection and style as you set off on a successful journey. Adorn this jewel and look graceful, whatever the occasion. This si...",silver,,,Zircon,Anklets,,Silver,,"Charm: 0.7 cm x 1.1 cm, Length of Chain: 25 cm + 4 cm Adjustable",925 Silver
Silver Solitaire Stackable Ring,http://www.giva.co/cdn/shop/files/R01360_1.jpg?v=1705649722,4299,"Your story, your style - the Silver Solitaire Stackable Ring, a perfect stack that makes your outlook perfect. These silver stackable rings have two, o...",silver,,,Zircon,Rings,Stackable Ring,Silver,,Ring Diameter: 1.66 cm,925 Silver
Rose Gold Rani Ebony Pendant with Link Chain,http://www.giva.co/cdn/shop/files/PD02245_1.jpg?v=1697725757,3499,"True to their name, 'Rani' (Queen in Hindi), this watch charm is ideal for those royal moments. These stunning pieces of fine jewellery are a perfect a...",rose gold,,,Coloured pink stones and zircons,Pendants,,Rose Gold,,"Length of Chain: 43 cm + 5 cm Adjustable, Motif Height: 2.1 cm, Width: 1.9 cm",925 Silver with Rose Gold Plating
Anushka Sharma Silver Deer Heart Necklace,http://www.giva.co/cdn/shop/files/PD096_1.jpg?v=1712924838,2399,Feel your heart thumping as you breeze into the magical realm of enchanted pieces. Perfect jewellery for gifting or treating yourself. This silver deer...,silver,,,Zircons,Necklaces,,Silver,,"Motif Height: 2.1 cm, Width: 2.6 cm, Length of Chain: 45 cm + 5 cm Adjustable",925 Silver
Anushka Sharma Silver Falling Dew Pendant With Link Chain,http://www.giva.co/cdn/shop/files/PD0133_1_eb3247c2-5b1b-4de4-adb5-67fbcedaa87e.jpg?v=1747894019,2099,Hey DIVA! Love early mornings? Meet your perfect match with this necklace. Inspired by morning dew. This silver pendant for women with a link chain fea...,silver,,,Zircon,Pendants,,Silver,,"Motif Height: 2.05 cm, Motif Width: 0.74 cm, Length of Chain: 43 cm + 4 cm Adjustable",925 Silver
Silver Zircon Drizzle Drop Earrings,http://www.giva.co/cdn/shop/files/ER0150_1.jpg?v=1713248262,2099,Make a splashing entry at the party with these stunning earrings. Be ready always to steal the spotlight! These silver earrings feature a circular moti...,"silver, zircon",,,Zircons,Earrings,Drop Earrings,Silver,,"Earring Size: Height - 2.6 cm, Width - 1 cm",925 Silver
Silver Classy Anklet,http://www.giva.co/cdn/shop/files/A0215_2_34d08575-f321-419a-b376-02634fe46017.jpg?v=1756809009,1699,Unveil a world of chic and timeless beauty with our Silver Classy Anklets because elegance never goes out of style. This silver anklet has an elegant d...,silver,,,,Anklets,,Silver,,Length of Chain: 24 cm + 2 cm Adjustable,925 Silver
Rose Gold Drop Wreath Pendant With Link Chain,http://www.giva.co/cdn/shop/files/PD0434_1-min.jpg?v=1711628440,2199,"Circle up your beautiful journey of life with ups and downs with this wreath. Gift yourself this pendant, made only of love. This rose gold pendant fea...",rose gold,,,Zircons,Pendants,,Rose Gold,,"Length of chain: 44 cm + 5 cm Adjustable, Motif Height: 2.1 cm, Width: 1.5 cm",925 Silver with Rose Gold Plating
Silver Flawless Her Ring,http://www.giva.co/cdn/shop/files/R01272_1.jpg?v=1725540695,1899,Have fun stacking this ring with your favourite ones to create a unique style statement. You won't regret buying this one. The silver ring features a c...,"silver,",,,,Rings,,Silver,,Diameter: 1.66cm,925 Silver
Silver White Pearl Earrings,http://www.giva.co/cdn/shop/files/ER001_1_79152b7d-6d68-4e89-9094-fc9737b18789.jpg?v=1742394292,1299,"Who wouldn't adore charming pearl earrings, so elegantly designed to enhance your outfit? We surely think that you would love them. These silver stud e...","silver, pearl",,,Pearls,Earrings,Stud Earrings,Silver,,"Earring Size: Height - 0.8 cm, Width - 0.8 cm",925 Silver
Silver Trooper Bracelet For Him,http://www.giva.co/cdn/shop/files/BR0968_5.jpg?v=1758607329,3099,"Put your game face on and wear our Silver Trooper Bracelet with pride, trooper. It's time to march towards success with confidence. This silver bracel...",silver,,,,Bracelets,,Silver,,"Width - 0.4 cm, Length of Chain: 22.5 cm",925 Silver
Anushka Sharma Rose Gold Drop Wreath Pendant Set,http://www.giva.co/cdn/shop/products/ER0583_PD0434_1.jpg?v=1634899482,3899,The Rose Gold Pink Drop Wreath Pendant Set is inspired by the most special moments of life that make it all worth it. The Rose Gold Pink Drop Wreath Pe...,rose gold,,,AAA+ Quality Zircons,Pendants,Pendant Set,Rose Gold,,"16"" + 2"" adjustable Rose Gold Chain, Charm - 21mm X 15mm, Dimensions - 12mm X 13mm",925 Silver with Rose Gold Plating
Rose Gold Floral Branch Ear Cuffs,http://www.giva.co/cdn/shop/products/ER0746_1.jpg?v=1645190284,2099,The Rose Gold Floral Branch Ear Cuffs are inspired by the beautiful branches filled with blooming flowers on a spring morning! The Rose Gold Floral Bra...,rose gold,,,AAA+ Quality Zircons,Earrings,Ear Cuffs,Rose Gold,,30 mm x 10 mm,
Rose Gold Flowing Crocus Pendant with Link Chain,http://www.giva.co/cdn/shop/files/PD01220_1.jpg?v=1711627531,2499,The joy-and-romance-filled Crocus is a symbol of early springtime. Wear this pendant and bring the spring as you desire. This rose gold pendant feature...,rose gold,,,Coloured enamel,Pendants,,Rose Gold,,"Length of chain: 44 cm + 4 cm Adjustable, Motif Height: 3.5 cm, Width: 1.3 cm",925 Silver with Rose Gold Plating
Silver Heart Melting Chain Anklet,http://www.giva.co/cdn/shop/files/A0056_2.jpg?v=1716375923,1599,"When it comes to delicate, dainty jewellery is always on top of the list. This Silver heart Melting Chain Anklet is inspired to slay that dainty look....",silver,,,,Anklets,,Silver,,"20cm length+3cm adjustable portion, Charm - 34mm x 17mm",925 Silver
Rose Gold Teardrop Jhumki,http://www.giva.co/cdn/shop/files/ER0290_5_59944068-f950-4d1a-8591-de248d58ae21.jpg?v=1744008642,5799,"DIVA, YOU have been asking for these forever and it's time we delivered. The quintessential member of every jewellery box, the Jhumki, is finally here!...",rose gold,,,AAA+ Quality Zircon Stones,Earrings,Jhumki,Rose Gold,,,925 Sterling Silver with Rose Gold plating
Silver Elegant Butterflies Bracelet,http://www.giva.co/cdn/shop/files/BR0734_1.jpg?v=1694698910,2499,The Silver Elegant Butterflies Bracelet is inspired by the moon showing up unexpectedly on a rainy night with a group of three twinkling stars. This si...,silver,,,Zircon,Bracelets,,Silver,,"Motif Size: Height - 0.85 cm, Motif Width - 1.35 cm, The length of the bracelet is 15 cm with a 4 cm adjustable portion",925 Silver
